"cor"	"component"	"abs"
"cellular bud neck septin collar"	0.857205601753194	"cellular bud neck septin collar"	0.857205601753194
"vacuolar lumen"	-0.909852671243071	"vacuolar lumen"	0.909852671243071
"fungal-type vacuole lumen"	-0.978357890510612	"fungal-type vacuole lumen"	0.978357890510612
"intracellular non-membrane-bounded organelle"	-0.156455235495387	"intracellular non-membrane-bounded organelle"	0.156455235495387
"perinuclear region of cytoplasm"	-0.852620533532414	"perinuclear region of cytoplasm"	0.852620533532414
"Golgi medial cisterna"	-0.0545061039916344	"Golgi medial cisterna"	0.0545061039916344
"peroxisomal matrix"	-0.912700756038831	"peroxisomal matrix"	0.912700756038831
"endoplasmic reticulum lumen"	-0.774761089969836	"endoplasmic reticulum lumen"	0.774761089969836
"mitochondrial crista junction"	0.792254663690953	"mitochondrial crista junction"	0.792254663690953
"site of double-strand break"	-0.439614733376102	"site of double-strand break"	0.439614733376102
"euchromatin"	0.287953177920306	"euchromatin"	0.287953177920306
"nuclear chromosome"	0.441712215317004	"nuclear chromosome"	0.441712215317004
"cellular bud neck contractile ring"	-0.84563481320588	"cellular bud neck contractile ring"	0.84563481320588
"septin ring"	0.0266194911776435	"septin ring"	0.0266194911776435
"nuclear replication fork"	0.343766714175247	"nuclear replication fork"	0.343766714175247
"mating projection base"	-0.182727411301751	"mating projection base"	0.182727411301751
"mating projection"	-0.94556140175432	"mating projection"	0.94556140175432
"endocytic vesicle"	-0.876027355421786	"endocytic vesicle"	0.876027355421786
"extracellular space"	-0.971074124754064	"extracellular space"	0.971074124754064
"vacuolar proton-transporting V-type ATPase, V0 domain"	-0.309690811710921	"vacuolar proton-transporting V-type ATPase, V0 domain"	0.309690811710921
"cytosolic ribosome"	0.990307691908682	"cytosolic ribosome"	0.990307691908682
"COPI vesicle coat"	0.552929654065915	"COPI vesicle coat"	0.552929654065915
"clathrin-coated vesicle membrane"	0.0980653104628078	"clathrin-coated vesicle membrane"	0.0980653104628078
"early endosome membrane"	-0.300861238063457	"early endosome membrane"	0.300861238063457
"proteasome storage granule"	-0.961095190071261	"proteasome storage granule"	0.961095190071261
"COPII vesicle coat"	-0.0401355571023049	"COPII vesicle coat"	0.0401355571023049
"endoplasmic reticulum exit site"	0.11854457298065	"endoplasmic reticulum exit site"	0.11854457298065
