,Trehalose_1,Trehalose_2,Trehalose_b1,Trehalose_b2,Galactose,Galactose_b,Maltose,Maltose_b,Glucose,Glucose_b
YBR052C,8.07E-05,7.87E-05,6.83E-05,7.19E-05,7.37E-05,7.92E-05,6.56E-05,6.48E-05,4.60E-05,4.61E-05
YBR078W,0.000638822,0.000571008,0.00051185,0.000586771,0.000800956,0.000718698,0.000623583,0.000650848,0.000624839,0.000609911
YBR079C,0.000651791,0.000705406,0.000709149,0.000727147,0.000896302,0.00090755,0.000922242,0.000927727,0.000913283,0.000909019
YBR080C,0.000164521,0.00017031,0.000163429,0.00018257,0.00022314,0.000219074,0.000157541,0.000169167,0.000150483,0.000146396
YBR082C,4.15E-05,4.66E-05,5.53E-05,5.36E-05,4.18E-05,4.20E-05,2.43E-05,2.07E-05,1.62E-05,1.65E-05
YBR084C-A,0.001796869,0.001834113,0.001959438,0.001786108,0.003297043,0.002860631,0.003246071,0.003748964,0.003174875,0.003507224
YBR084W,0.000135145,0.000149618,0.000155017,0.000154499,0.000223641,0.000227879,0.000224793,0.000223889,0.000231818,0.000228068
YBR086C,0.000138016,0.000138599,0.000129987,0.000135948,0.000108064,9.72E-05,9.04E-05,0.00010149,7.20E-05,7.79E-05
YBR087W,3.45E-05,3.03E-05,3.42E-05,3.50E-05,4.17E-05,4.42E-05,3.83E-05,2.50E-05,3.64E-05,3.84E-05
YBR088C,0.000440835,0.000434458,0.000438824,0.000434641,0.000554444,0.000517634,0.0003911,0.000411019,0.000359377,0.000367102
YBR094W,5.52E-05,5.10E-05,5.24E-05,4.89E-05,4.80E-05,4.85E-05,3.70E-05,2.67E-05,3.52E-05,3.59E-05
YBR101C,0.000209363,0.000203679,0.000207676,0.000211424,0.00013054,0.00012476,0.000106006,0.000102362,9.32E-05,9.14E-05
YBR106W,0.000395307,0.000400566,0.000381016,0.000387881,0.000506188,0.000513566,0.00056018,0.000572826,0.000600101,0.000624843
YBR109C,0.000390691,0.000409835,0.000405253,0.000422929,0.000430304,0.000424552,0.000362022,0.000337342,0.000306344,0.000323952
YBR111C,6.56E-05,6.69E-05,6.50E-05,6.47E-05,3.09E-05,3.02E-05,3.35E-05,2.85E-05,2.36E-05,2.55E-05
YBR112C,8.33E-05,8.32E-05,7.69E-05,8.22E-05,7.63E-05,6.96E-05,8.30E-05,7.74E-05,7.26E-05,7.25E-05
YBR115C,0.000937028,0.000996435,0.001022256,0.001007346,0.001175625,0.001228655,0.001513644,0.001495298,0.00177348,0.001764818
YBR121C,0.001105336,0.001199045,0.001236065,0.00125738,0.001591123,0.001619146,0.001607628,0.001671005,0.00156236,0.001570583
YBR126C,0.000514789,0.000480138,0.000502441,0.000453488,0.000332793,0.000317793,0.000235555,0.000268924,0.000122341,0.000119784
YBR127C,0.00140436,0.001369353,0.001385282,0.001386665,0.001760594,0.001802178,0.002167156,0.002074305,0.002185305,0.002153287
YBR142W,3.95E-05,4.43E-05,4.43E-05,4.93E-05,4.58E-05,4.12E-05,4.27E-05,4.00E-05,4.42E-05,4.63E-05
YBR143C,0.000497436,0.000534592,0.000569471,0.000554505,0.000645344,0.000644517,0.000622631,0.00063608,0.000646563,0.000630093
YBR149W,0.001465449,0.001422774,0.001377788,0.001341185,0.000530777,0.000525561,0.000317106,0.00033157,0.000126376,0.000156154
YBR154C,4.89E-05,5.22E-05,5.45E-05,5.47E-05,5.50E-05,5.09E-05,5.67E-05,5.60E-05,6.21E-05,5.54E-05
YBR160W,9.08E-05,9.44E-05,8.18E-05,9.42E-05,9.11E-05,8.98E-05,5.71E-05,6.23E-05,5.07E-05,5.04E-05
YBR162C,3.80E-05,3.57E-05,3.64E-05,3.40E-05,2.88E-05,3.05E-05,3.42E-05,3.26E-05,3.17E-05,3.35E-05
YBR164C,4.02E-05,3.69E-05,3.40E-05,3.25E-05,4.87E-05,4.93E-05,3.86E-05,4.20E-05,2.82E-05,3.25E-05
YBR166C,2.96E-05,2.57E-05,2.67E-05,2.77E-05,2.93E-05,2.76E-05,1.78E-05,1.82E-05,1.72E-05,2.06E-05
YBR169C,0.000988273,0.000931272,0.000912021,0.000890957,0.000111732,8.55E-05,1.04E-06,3.31E-06,0,7.19E-07
YBR170C,6.08E-05,6.59E-05,6.19E-05,6.12E-05,5.85E-05,5.54E-05,4.37E-05,4.14E-05,2.82E-05,3.44E-05
YBR177C,9.07E-05,7.36E-05,7.22E-05,7.51E-05,0.000216786,0.000227327,0.000188706,0.000195098,0.00017959,0.000174224
YBR189W,0.000376197,0.00035213,0.000381584,0.000384154,0.000647983,0.000632515,0.000721851,0.000747216,0.00083893,0.00081945
YBR191W,4.45E-05,6.24E-05,5.50E-05,5.09E-05,0.000121223,0.000118522,0.000107093,0.000179756,9.89E-05,0.000125796
YBR196C,0.003546323,0.003459579,0.00363492,0.003428839,0.002875826,0.002786433,0.003587536,0.003556679,0.004453408,0.004503168
YBR198C,1.92E-05,2.01E-05,3.04E-05,3.09E-05,4.16E-05,4.28E-05,4.19E-05,3.87E-05,3.78E-05,3.67E-05
YBR221C,0.000656704,0.000597321,0.000590911,0.000616702,0.000654213,0.000672337,0.000489116,0.000469058,0.000422309,0.000398307
YBR227C,4.44E-05,4.63E-05,4.41E-05,4.55E-05,3.99E-05,3.70E-05,3.82E-05,4.15E-05,3.83E-05,3.79E-05
YBR234C,0.000179912,0.000186101,0.000183992,0.000168711,0.000167642,0.000171071,0.000118017,0.000103709,9.45E-05,0.000113126
YBR245C,4.50E-05,4.62E-05,3.96E-05,4.46E-05,5.37E-05,5.47E-05,4.94E-05,4.87E-05,4.80E-05,4.88E-05
YBR247C,8.93E-05,0.000100552,9.78E-05,0.000103837,0.000115446,0.000120151,0.000129528,0.000132646,0.000137157,0.000143774
YBR248C,0.00045375,0.000475407,0.000514271,0.00050353,0.00047483,0.000475329,0.000505623,0.000504616,0.000706657,0.000726671
YBR249C,0.001621701,0.00175205,0.001890202,0.00182075,0.001008929,0.001093096,0.001284416,0.001249257,0.001467403,0.001474502
YBR263W,0.000505431,0.000459739,0.00045874,0.000451913,0.000631617,0.000629009,0.000519652,0.00053735,0.000488649,0.000488455
YBR283C,0.000129606,0.000127013,0.000133067,0.000125468,0.000179648,0.000187208,0.00018709,0.000173079,0.000208011,0.000200075
YBR286W,0.00082345,0.000705642,0.000677812,0.000668595,0.000343648,0.000332468,0.000321645,0.000338443,0.000307579,0.00030427
YBR291C,0.000102617,0.000107709,0.000113949,0.000119741,0.000146707,0.000140154,0.000158137,0.000162241,0.000185958,0.000183578
YCL009C,0.000618913,0.000574948,0.000601912,0.000579729,0.000501245,0.000513928,0.000564361,0.00054198,0.00055318,0.000555524
YCL011C,2.74E-05,2.92E-05,2.89E-05,2.77E-05,5.62E-05,5.57E-05,5.97E-05,6.41E-05,5.75E-05,5.89E-05
YCL018W,9.69E-05,0.000102974,0.000123521,9.93E-05,8.26E-05,8.23E-05,9.34E-05,8.53E-05,0.00010912,0.000124736
YCL028W,0.000106489,0.000105484,0.000102257,0.000100317,8.38E-05,7.88E-05,5.91E-05,6.48E-05,5.69E-05,5.99E-05
YCL030C,0.001897647,0.00193048,0.002138153,0.002079641,0.001781181,0.001842964,0.00239557,0.002252091,0.003322472,0.003543414
YCL035C,0.000412271,0.000429704,0.000379741,0.000420372,0.000128924,0.000127423,5.16E-05,6.15E-05,3.04E-05,3.53E-05
YCL037C,8.74E-05,9.69E-05,9.66E-05,0.000107561,0.000232989,0.000239297,0.000263983,0.000257537,0.000302687,0.000286962
YCL043C,0.001702247,0.001508626,0.001567444,0.001467677,0.002087638,0.002021761,0.001481357,0.001536694,0.001527682,0.001514055
YCL045C,8.13E-05,8.15E-05,7.20E-05,7.39E-05,7.68E-05,8.16E-05,6.98E-05,7.11E-05,7.59E-05,7.21E-05
YCL050C,0.000307853,0.000300079,0.00029852,0.000297939,0.000244729,0.000255287,0.000279117,0.000281009,0.000315694,0.000330243
YCL054W,4.15E-05,3.85E-05,3.88E-05,4.39E-05,5.66E-05,5.58E-05,6.25E-05,6.38E-05,6.62E-05,6.82E-05
YCL057W,0.000192522,0.000198094,0.000195734,0.000197996,0.000213375,0.000203196,0.000180698,0.000189027,0.000154144,0.000161107
YCR002C,0.000123411,0.000121865,0.000115143,0.000122421,0.000147996,0.000145408,0.000109391,0.000117043,0.000109342,0.000107637
YCR004C,0.000891662,0.00089641,0.000874598,0.000849245,0.000312909,0.000328855,0.000224672,0.000231991,0.000184428,0.000182995
YCR005C,5.85E-05,6.26E-05,9.54E-05,8.89E-05,0.000194376,0.00017889,9.12E-05,0.000100361,0.000139452,0.00013978
YCR009C,0.000183825,0.000185356,0.000181342,0.000189557,0.0001905,0.000180459,0.000134377,0.000131887,0.000118655,0.000114501
YCR012W,0.03488105,0.038085028,0.035728404,0.03658066,0.016145505,0.016323225,0.028194107,0.028055556,0.034629006,0.035045312
YCR028C-A,0.00050401,0.000438528,0.000420498,0.000445684,0.000362951,0.000337688,0.000252304,0.000245452,0.000217746,0.000211355
YCR030C,0.000187594,0.00018263,0.000175411,0.000179302,0.000131943,0.000137142,0.00011375,0.000120552,0.00010006,0.000102695
YCR035C,1.89E-05,2.07E-05,1.85E-05,1.85E-05,1.69E-05,1.50E-05,1.41E-05,1.56E-05,1.55E-05,1.53E-05
YCR051W,5.99E-05,5.76E-05,5.15E-05,5.34E-05,4.18E-05,4.70E-05,3.65E-05,3.72E-05,3.18E-05,3.22E-05
YCR052W,1.65E-05,1.67E-05,2.06E-05,1.80E-05,1.84E-05,2.01E-05,1.88E-05,1.83E-05,1.76E-05,1.93E-05
YCR053W,0.00093705,0.00094383,0.00102405,0.000955043,0.000697983,0.000695201,0.000814599,0.000822598,0.000815958,0.000808501
YCR057C,2.07E-05,2.30E-05,2.24E-05,2.18E-05,3.20E-05,3.13E-05,3.49E-05,3.08E-05,3.38E-05,3.67E-05
YCR067C,3.19E-05,3.45E-05,2.82E-05,3.01E-05,3.48E-05,3.46E-05,2.44E-05,1.99E-05,2.41E-05,2.38E-05
YCR073W-A,7.25E-05,6.79E-05,6.46E-05,6.51E-05,6.00E-05,6.22E-05,3.39E-05,3.49E-05,2.83E-05,3.21E-05
YCR077C,4.29E-05,3.94E-05,4.20E-05,3.95E-05,4.64E-05,4.17E-05,3.69E-05,3.80E-05,2.75E-05,3.64E-05
YCR084C,0.000230164,0.000254579,0.000246468,0.000257388,0.00025267,0.000247081,0.000257032,0.00025631,0.000236252,0.000243443
YCR087C-A,2.66E-05,2.73E-05,2.80E-05,2.69E-05,2.72E-05,2.92E-05,4.08E-05,4.02E-05,4.29E-05,3.86E-05
YCR088W,0.000577854,0.000560566,0.000536383,0.000563425,0.000642524,0.000680167,0.000448639,0.000458188,0.00040587,0.000406148
YCR093W,0.00010172,9.30E-05,0.000100732,0.000100688,0.000115949,0.000112749,0.000102156,9.69E-05,0.000102979,9.40E-05
YDL007W,0.000286851,0.000293449,0.000302492,0.000298963,0.000228686,0.000238344,0.000216051,0.000208652,0.000215237,0.000224825
YDL014W,0.000801651,0.000873941,0.000848743,0.000891993,0.00109626,0.001059188,0.001149125,0.001128192,0.001223302,0.001222398
YDL015C,5.55E-05,4.74E-05,4.54E-05,3.94E-05,7.90E-05,7.50E-05,5.51E-05,7.51E-05,5.19E-05,5.78E-05
YDL019C,1.90E-05,1.50E-05,1.66E-05,1.67E-05,1.44E-05,1.68E-05,1.11E-05,1.36E-05,1.01E-05,8.53E-06
YDL022W,0.000836259,0.000660307,0.000544942,0.000595314,0.000764273,0.000725649,0.000494502,0.000568331,0.00038997,0.000368094
YDL029W,0.000313815,0.000309731,0.000301865,0.000328884,0.000316325,0.000314899,0.000220931,0.000225558,0.000197844,0.000188522
YDL031W,2.36E-05,3.53E-05,3.27E-05,3.85E-05,3.60E-05,2.93E-05,3.80E-05,4.11E-05,4.18E-05,3.54E-05
YDL040C,0.000105023,0.00011732,0.000108868,0.000111736,0.0001758,0.000171579,0.000156368,0.00015924,0.000155957,0.000166055
YDL051W,0.000170912,0.000181924,0.000189204,0.000197963,0.000211885,0.000202596,0.000205399,0.000217973,0.000234428,0.000224336
YDL052C,5.11E-05,5.23E-05,5.68E-05,5.28E-05,7.85E-05,7.53E-05,7.29E-05,7.57E-05,7.05E-05,7.76E-05
YDL055C,0.001158764,0.00129072,0.001439716,0.001308701,0.002637953,0.00260836,0.001934125,0.001909051,0.001972136,0.001848266
YDL060W,4.53E-05,5.27E-05,5.71E-05,5.62E-05,5.55E-05,6.33E-05,6.16E-05,6.33E-05,7.00E-05,6.96E-05
YDL061C,0.00042598,0.00041244,0.000463872,0.000424998,0.000628077,0.000588239,0.000647571,0.000724654,0.000735811,0.00069998
YDL063C,2.08E-05,2.45E-05,2.59E-05,2.43E-05,2.52E-05,2.18E-05,2.47E-05,2.65E-05,3.29E-05,2.95E-05
YDL066W,0.00060543,0.000588002,0.000613389,0.000623317,0.001279951,0.001242268,0.001023072,0.001064837,0.000938503,0.000963144
YDL072C,0.000119989,0.000106693,0.000115033,0.000115221,8.66E-05,8.68E-05,5.91E-05,6.19E-05,5.21E-05,5.50E-05
YDL078C,0.000437327,0.000388919,0.000415135,0.000382713,0.000301638,0.000297016,0.000174895,0.000172614,0.000149625,0.000146131
YDL081C,0.000231092,0.000348475,0.000400979,0.000393632,0.000271227,0.000422864,0.000444157,0.000514295,0.000514194,0.000470642
YDL084W,0.000566004,0.000516825,0.000529246,0.000509123,0.000740418,0.000746525,0.000712697,0.000716694,0.000698757,0.00067343
YDL086W,8.58E-05,8.94E-05,9.60E-05,7.74E-05,6.93E-05,5.54E-05,4.17E-05,4.41E-05,5.76E-05,6.18E-05
YDL092W,4.75E-05,4.77E-05,4.56E-05,4.77E-05,5.27E-05,5.41E-05,4.57E-05,4.92E-05,4.48E-05,4.52E-05
YDL095W,5.95E-05,5.34E-05,4.42E-05,5.32E-05,0.000120015,0.000113541,9.33E-05,8.38E-05,0.000106483,0.00010128
YDL097C,0.000383001,0.00037311,0.000380138,0.000382969,0.00031961,0.000319785,0.00025876,0.000261874,0.000248445,0.000240456
YDL100C,0.000234776,0.000215618,0.000204089,0.000211644,0.000289904,0.000278288,0.000258048,0.000255986,0.000259088,0.000266432
YDL103C,0.000131756,0.000128619,0.000133087,0.000128242,0.000131389,0.000127106,9.20E-05,0.000102061,8.53E-05,8.73E-05
YDL116W,3.04E-05,3.29E-05,2.89E-05,3.08E-05,2.80E-05,2.87E-05,2.45E-05,2.48E-05,2.55E-05,2.05E-05
YDL122W,6.73E-05,7.62E-05,7.54E-05,8.36E-05,6.79E-05,6.69E-05,6.65E-05,5.88E-05,5.50E-05,5.55E-05
YDL124W,0.001672285,0.001683414,0.001677938,0.001590982,0.000587518,0.000596833,0.000815351,0.00077395,8.64E-05,9.78E-05
YDL125C,0.000340599,0.000341591,0.000347902,0.000358262,0.00017045,0.00017254,0.000153194,0.000141431,0.000113551,0.000117237
YDL126C,0.002494334,0.002460682,0.002401318,0.002443986,0.001979427,0.002050021,0.001870954,0.001856371,0.001726203,0.001754146
YDL130W,0.000562381,0.000605495,0.000635606,0.000622848,0.000717063,0.000832334,0.000925362,0.000990476,0.000996969,0.001131196
YDL131W,0.000621101,0.00067116,0.000683331,0.000689871,0.000773418,0.000741225,0.000793568,0.000825827,0.000846474,0.000872503
YDL132W,7.20E-05,6.75E-05,6.77E-05,7.18E-05,6.80E-05,6.94E-05,4.57E-05,6.17E-05,4.48E-05,4.50E-05
YDL135C,0.000130285,0.000128553,0.000139669,0.000139987,0.000110912,0.000108085,6.98E-05,7.77E-05,7.44E-05,6.25E-05
YDL137W,5.71E-05,4.37E-05,5.16E-05,4.95E-05,5.07E-05,3.99E-05,2.54E-05,2.69E-05,1.72E-05,1.81E-05
YDL140C,0.000171022,0.000170913,0.000176807,0.000182564,0.00021295,0.00021303,0.000189444,0.000182776,0.000193553,0.000192848
YDL141W,3.37E-05,4.00E-05,4.15E-05,3.58E-05,4.47E-05,4.29E-05,3.30E-05,3.35E-05,3.34E-05,3.75E-05
YDL143W,0.001843759,0.001935292,0.002039278,0.001941585,0.002404375,0.002319375,0.002159041,0.002254266,0.002308038,0.002271345
YDL145C,0.000438887,0.00044558,0.000457251,0.000446516,0.000538293,0.00051972,0.000441562,0.000443797,0.000409276,0.000409764
YDL147W,0.000350249,0.000336401,0.000353028,0.000365077,0.000295525,0.000281298,0.000219947,0.000225471,0.000205303,0.000212053
YDL153C,2.48E-05,2.86E-05,2.88E-05,3.03E-05,2.99E-05,3.12E-05,3.73E-05,3.67E-05,3.90E-05,3.92E-05
YDL160C,0.000113052,0.000111613,0.000105536,0.00011459,0.000172198,0.000166178,0.0001524,0.000151991,0.000142384,0.000138057
YDL166C,1.71E-05,1.43E-05,1.89E-05,1.68E-05,1.63E-05,1.63E-05,1.31E-05,1.36E-05,1.63E-05,1.56E-05
YDL168W,0.000263495,0.00025016,0.000239465,0.00024153,0.000172765,0.000168284,0.000145138,0.000157101,0.00011952,0.00011753
YDL171C,0.00071008,0.000877897,0.000886556,0.000890981,0.000819819,0.000814332,0.000918171,0.000929543,0.001242876,0.001262472
YDL174C,0.000470205,0.000375009,0.000357075,0.000370778,0.000731557,0.000726858,0.000438166,0.000500237,0.000414228,0.000405313
YDL178W,0.000183559,0.000197187,0.000190095,0.000196517,0.000231148,0.000232695,0.000161055,0.000167833,0.000141111,0.000145658
YDL182W,0.000248623,0.000250556,0.000261891,0.000282667,0.000521775,0.000512371,0.000706105,0.00076296,0.000954645,0.000987503
YDL185W,0.001603641,0.001509922,0.00158087,0.001594533,0.002282494,0.002284374,0.002375856,0.002295502,0.002378132,0.002307102
YDL188C,4.03E-05,2.82E-05,1.93E-05,4.25E-05,2.67E-05,2.45E-05,2.43E-05,1.21E-05,2.23E-05,2.26E-05
YDL190C,2.47E-05,2.64E-05,2.93E-05,2.75E-05,3.10E-05,3.33E-05,2.43E-05,2.71E-05,2.66E-05,2.56E-05
YDL191W,0.00175054,0.001703124,0.001738932,0.001822678,0.003016731,0.002862508,0.003343572,0.003372645,0.003490586,0.003476211
YDL192W,8.31E-05,9.39E-05,9.13E-05,8.79E-05,0.000114146,0.000118374,0.000115957,0.00012287,8.54E-05,8.29E-05
YDL195W,0.00053925,0.000513171,0.000525793,0.000524919,0.000624008,0.000619297,0.000530796,0.000548507,0.000520653,0.000504164
YDL198C,0.000241119,0.000234745,0.000232319,0.000252074,0.000302605,0.000280809,0.000317145,0.00030074,0.000304906,0.000307487
YDL201W,4.22E-05,4.57E-05,4.45E-05,4.64E-05,4.79E-05,5.10E-05,4.73E-05,5.57E-05,5.61E-05,5.57E-05
YDL202W,2.03E-05,2.10E-05,2.25E-05,2.24E-05,3.66E-05,4.22E-05,3.20E-05,3.40E-05,2.25E-05,1.94E-05
YDL205C,2.77E-05,3.17E-05,3.53E-05,3.45E-05,4.95E-05,5.29E-05,3.95E-05,3.95E-05,2.97E-05,2.88E-05
YDL225W,6.90E-05,6.37E-05,6.76E-05,7.14E-05,6.80E-05,6.79E-05,4.81E-05,3.44E-05,5.24E-05,5.07E-05
YDL226C,7.96E-05,7.70E-05,7.88E-05,8.49E-05,9.15E-05,0.000102607,9.82E-05,0.000101302,9.96E-05,9.75E-05
YDL236W,4.96E-05,5.28E-05,4.95E-05,5.07E-05,0.000104494,0.000108497,8.72E-05,8.59E-05,8.28E-05,7.65E-05
YDL237W,7.11E-05,6.45E-05,5.85E-05,5.45E-05,4.90E-05,4.44E-05,3.32E-05,3.86E-05,1.25E-05,3.72E-05
YDR002W,0.000273785,0.000317404,0.000326668,0.000326619,0.000283079,0.000301911,0.000320402,0.000348124,0.000309466,0.000354546
YDR011W,1.19E-05,1.52E-05,1.28E-05,1.37E-05,1.79E-05,2.38E-05,2.28E-05,1.68E-05,2.85E-05,2.40E-05
YDR019C,0.000377131,0.000371456,0.00036548,0.000353404,0.000324121,0.000308954,0.000364275,0.000347234,0.000397928,0.000408303
