,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor
YBR126C,0.000201318,0.000215086,0.000155108,0.000155327,0.000114152,0.000124469,9.13E-05,8.76E-05
YBR127C,0.001145666,0.001250941,0.001261968,0.001181167,0.00159453,0.001571032,0.001864408,0.001823177
YBR130C,4.67E-05,5.55E-05,5.37E-05,4.83E-05,3.15E-05,4.01E-05,1.87E-05,3.51E-05
YBR142W,7.69E-05,9.39E-05,8.49E-05,7.75E-05,7.16E-05,6.33E-05,5.72E-05,6.40E-05
YBR143C,0.001081598,0.001035303,0.000966139,0.00099332,0.00083963,0.00079471,0.000649638,0.00075769
YBR149W,0.000373221,0.000346692,0.000255424,0.000265337,0.000173297,0.000163827,9.27E-05,0.000116312
YBR154C,6.94E-05,8.11E-05,6.09E-05,7.19E-05,6.40E-05,8.40E-05,8.01E-05,7.08E-05
YBR159W,0.000134839,0.000139484,0.000130276,0.000118956,0.000110739,0.000109964,9.57E-05,0.000118784
YBR160W,0.000122957,0.00012072,9.87E-05,9.83E-05,7.74E-05,7.98E-05,5.58E-05,4.99E-05
YBR164C,0.000107686,9.85E-05,8.22E-05,9.71E-05,4.53E-05,6.21E-05,6.32E-05,6.32E-05
YBR166C,9.16E-05,7.27E-05,6.58E-05,5.83E-05,4.95E-05,4.82E-05,3.80E-05,3.40E-05
YBR169C,4.49E-05,3.32E-05,1.78E-05,1.77E-05,2.82E-06,2.77E-06,0,2.25E-06
YBR170C,0.00021508,0.000213997,0.000161095,0.000161197,9.85E-05,0.000107204,5.71E-05,7.56E-05
YBR171W,7.31E-05,7.48E-05,6.63E-05,6.76E-05,6.38E-05,6.32E-05,5.32E-05,5.90E-05
YBR177C,0.000478156,0.000476171,0.000552481,0.000520549,0.000407281,0.00039943,0.000323653,0.000328295
YBR189W,0.000740353,0.000754144,0.000689286,0.000602198,0.000642642,0.000612721,0.000593778,0.00060551
YBR191W,0.000248263,0.000157477,0.000163312,0.000151126,0.000150777,0.000147775,0.000143917,0.000143323
YBR196C,0.003404893,0.003387985,0.003562396,0.00368947,0.00421496,0.004218509,0.004710988,0.004783213
YBR198C,8.59E-05,8.56E-05,6.68E-05,6.48E-05,4.81E-05,6.49E-05,4.73E-05,4.01E-05
YBR202W,4.27E-05,7.26E-05,4.80E-05,4.13E-05,1.74E-05,1.44E-05,1.20E-05,2.39E-05
YBR213W,2.69E-05,3.30E-05,3.17E-05,3.40E-05,4.30E-05,2.79E-05,3.11E-05,4.16E-05
