,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor
YOR051C,4.93E-05,3.80E-05,4.81E-05,4.43E-05,4.82E-05,4.14E-05,3.14E-05,4.50E-05
YOR056C,6.24E-05,5.66E-05,5.66E-05,5.60E-05,5.57E-05,5.69E-05,5.10E-05,4.26E-05
YOR061W,6.02E-05,5.69E-05,5.85E-05,5.99E-05,5.79E-05,6.86E-05,5.05E-05,5.54E-05
YOR063W,0.009118121,0.008743008,0.008723925,0.008908132,0.008138628,0.008525248,0.007948333,0.00724987
YOR065W,0.000329129,0.000349753,0.000289621,0.000283908,0.000205981,0.000212091,0.000190386,0.000196175
YOR069W,3.81E-05,3.38E-05,3.03E-05,3.43E-05,1.87E-05,2.45E-05,2.01E-05,1.54E-05
YOR074C,6.45E-05,7.08E-05,6.81E-05,6.26E-05,5.44E-05,5.50E-05,3.94E-05,4.35E-05
YOR086C,7.24E-05,8.26E-05,7.58E-05,7.09E-05,7.24E-05,7.11E-05,7.70E-05,8.61E-05
YOR089C,0.00011503,0.000134335,9.81E-05,8.87E-05,5.77E-05,5.92E-05,6.84E-05,5.77E-05
YOR091W,6.49E-05,8.37E-05,6.99E-05,6.90E-05,6.06E-05,6.19E-05,5.04E-05,4.63E-05
YOR095C,9.48E-05,0.00010298,9.65E-05,9.94E-05,0.000108589,0.000106426,0.000112372,0.000109611
YOR096W,0.003292739,0.003361138,0.003172246,0.003195839,0.003257155,0.002745337,0.003125173,0.002845499
YOR099W,3.45E-05,3.54E-05,4.54E-05,3.85E-05,5.28E-05,5.89E-05,6.50E-05,4.50E-05
YOR108W,6.63E-05,6.49E-05,7.60E-05,8.90E-05,7.50E-05,6.72E-05,8.45E-05,8.12E-05
YOR109W,0.000125029,0.000129684,0.000106299,0.000100402,8.42E-05,8.00E-05,6.11E-05,6.89E-05
YOR112W,8.23E-05,6.98E-05,7.05E-05,6.42E-05,4.31E-05,4.97E-05,2.92E-05,3.29E-05
YOR116C,7.47E-05,8.80E-05,8.49E-05,7.78E-05,8.63E-05,8.86E-05,7.76E-05,8.20E-05
YOR117W,0.000407023,0.000400614,0.000371692,0.000370251,0.000342058,0.000346233,0.000296753,0.00030925
YOR122C,0.000241264,0.000247545,0.00028504,0.000200506,9.73E-05,7.69E-05,0.000134919,0.000132378
YOR124C,8.60E-05,9.06E-05,6.92E-05,6.47E-05,5.24E-05,4.47E-05,2.59E-05,4.35E-05
YOR128C,0.002123564,0.002111564,0.001968565,0.001949782,0.001551001,0.001641239,0.001290427,0.001240567
YOR136W,0.00089573,0.000951156,0.000763251,0.000775752,0.000694701,0.000832217,0.000782978,0.000754883
YOR141C,6.56E-05,6.03E-05,5.60E-05,4.77E-05,3.92E-05,3.69E-05,2.28E-05,3.82E-05
YOR142W,0.000247168,0.000247284,0.000262682,0.000276767,0.000292809,0.00024949,0.000200222,0.000221361
YOR143C,5.80E-05,5.44E-05,4.91E-05,5.76E-05,3.60E-05,2.91E-05,2.29E-05,2.75E-05
YOR145C,9.48E-05,0.000101138,0.000101731,0.000105826,8.89E-05,0.000105178,9.10E-05,8.62E-05
YOR151C,0.000396118,0.000392806,0.000336345,0.000343334,0.000285204,0.000299174,0.000245571,0.000238232
YOR153W,0.000372177,0.00041729,0.000388369,0.000342013,0.000280915,0.000284241,0.000183814,0.000184462
YOR157C,0.000196748,0.000185321,0.000163223,0.000164951,0.00011967,0.000126897,0.000109168,0.000113727
YOR158W,2.75E-05,3.08E-05,2.64E-05,2.15E-05,1.88E-05,2.90E-05,2.34E-05,2.55E-05
YOR164C,9.87E-05,8.45E-05,7.70E-05,7.89E-05,4.57E-05,6.90E-05,4.18E-05,4.74E-05
YOR165W,0.000150938,0.000158073,0.000143111,0.000146968,0.000128814,0.000122025,8.82E-05,0.000115626
YOR167C,0.002470557,0.002456899,0.00222173,0.002437095,0.00223676,0.00243015,0.002120189,0.001736586
YOR168W,0.001334328,0.001286546,0.001238816,0.001305974,0.001177485,0.00112599,0.000921738,0.000900843
YOR176W,5.35E-05,6.81E-05,5.74E-05,5.19E-05,6.32E-05,3.99E-05,3.82E-05,4.56E-05
YOR182C,0.000918836,0.000889837,0.000839612,0.000839642,0.000717118,0.000875609,0.000963959,0.000768394
YOR184W,0.001666617,0.001748224,0.001834697,0.001972206,0.001708229,0.001796912,0.001361752,0.001343873
YOR187W,0.000433043,0.00045938,0.000421281,0.000401581,0.000407053,0.000431481,0.000402856,0.000461641
YOR197W,8.40E-05,8.54E-05,7.91E-05,7.25E-05,6.00E-05,6.48E-05,5.57E-05,6.38E-05
YOR198C,0.000646694,0.000676043,0.000647968,0.000679769,0.000688589,0.000718848,0.000736657,0.000760154
YOR202W,0.000478087,0.000459833,0.000409308,0.00038634,0.000270639,0.000254025,0.000285122,0.000277605
YOR204W,0.00201268,0.002163572,0.002310877,0.002190027,0.002210135,0.002237428,0.00199436,0.00185607
YOR206W,0.000155911,0.00015398,0.000157253,0.000163816,0.000127486,0.000131316,9.30E-05,0.000108471
YOR207C,0.000131335,0.000131011,0.000115085,0.000119929,9.73E-05,0.000105393,5.63E-05,7.98E-05
YOR209C,0.000296062,0.000310451,0.000279544,0.000273526,0.000238623,0.00025142,0.000226288,0.000202827
YOR210W,0.000100915,7.58E-05,7.75E-05,8.13E-05,7.92E-05,8.95E-05,5.77E-05,6.89E-05
YOR212W,2.73E-05,3.16E-05,2.92E-05,2.40E-05,2.44E-05,2.38E-05,2.04E-05,1.95E-05
YOR222W,0.000217529,0.000211705,0.000288938,0.000298166,0.000259653,0.0002793,0.000254909,0.000267727
YOR224C,8.51E-05,7.77E-05,7.63E-05,7.63E-05,6.60E-05,6.65E-05,5.91E-05,6.53E-05
YOR230W,0.000423009,0.00037427,0.00035684,0.000333556,0.000296906,0.000279392,0.000335704,0.000338999
YOR232W,9.90E-05,0.000114142,0.000131102,0.000126708,0.00015248,0.000160158,0.000160586,0.000177019
YOR234C,0.000436987,0.000391758,0.000382908,0.000404213,0.00041276,0.000420067,0.000362408,0.000387779
YOR241W,0.000219742,0.000215521,0.000176443,0.000143369,0.000132742,0.000115653,0.000117164,6.74E-05
YOR243C,0.000169545,0.000181043,0.000152929,0.000136738,0.00010871,0.000134877,0.000101458,0.000123348
YOR251C,6.25E-05,5.09E-05,5.49E-05,4.82E-05,5.10E-05,4.30E-05,5.28E-05,4.37E-05
YOR254C,0.000227256,0.000232286,0.000212352,0.000209597,0.00018782,0.000188306,0.000155839,0.00017957
YOR259C,0.000391891,0.000395905,0.000324605,0.000363869,0.000264976,0.000276224,0.00024159,0.000231244
YOR260W,0.000131301,0.00015527,0.000128955,0.000121989,0.000101323,9.57E-05,8.63E-05,7.91E-05
YOR261C,0.000446776,0.00048665,0.000419122,0.000436484,0.000317608,0.000301048,0.000247565,0.000227477
YOR270C,0.000452244,0.000443171,0.000441092,0.000436296,0.000407216,0.000421291,0.000376399,0.000397907
YOR271C,0.000142812,0.00014437,0.000147633,0.000135042,0.000150587,0.000151761,0.000150922,0.000153523
YOR272W,0.000183721,0.000192562,0.000189421,0.000177316,0.000171101,0.00016642,0.000144213,0.000153124
YOR276W,9.92E-05,0.000118264,0.000122877,0.00010727,0.000133802,0.000125977,0.000143575,0.000143783
YOR280C,0.000162755,0.000198505,0.000147908,0.000146177,0.000130262,0.000143615,9.95E-05,9.19E-05
YOR283W,6.23E-05,5.94E-05,5.54E-05,5.22E-05,4.48E-05,4.46E-05,4.27E-05,3.54E-05
YOR285W,0.000127719,0.000134675,0.000137159,0.000128745,9.89E-05,0.000123999,0.000164865,0.000134394
YOR293W,0.002406791,0.002259168,0.002148068,0.002260754,0.002097601,0.002207118,0.001974917,0.001673309
YOR294W,3.92E-05,3.96E-05,4.62E-05,4.42E-05,5.68E-05,5.79E-05,6.10E-05,5.55E-05
YOR298C-A,0.002529351,0.002279019,0.00182893,0.001968299,0.001153182,0.001188619,0.000716276,0.000614606
YOR303W,0.000309924,0.000367171,0.000582624,0.000535357,0.000811858,0.000803425,0.00049704,0.000538241
YOR310C,0.001295529,0.001348262,0.001306124,0.00126796,0.001164602,0.001251523,0.001055628,0.001132235
YOR312C,0.00602784,0.006155003,0.005216045,0.005629587,0.005029913,0.005584728,0.005657006,0.004495056
YOR317W,0.000452585,0.000483418,0.000368562,0.000370063,0.000278933,0.00027607,0.000290104,0.000248964
YOR323C,0.000652082,0.000642462,0.000667385,0.000692214,0.000633398,0.000602495,0.000623287,0.000586107
YOR326W,0.000161808,0.000157794,0.000162553,0.000162354,0.00015036,0.000164401,0.000151742,0.000147882
YOR332W,0.000293139,0.000347147,0.000383871,0.000398019,0.000508593,0.00047537,0.000480049,0.000535912
YOR335C,0.001668108,0.001623497,0.001739216,0.001702429,0.001790021,0.001786285,0.001911572,0.00187905
YOR340C,0.000122407,0.000118249,0.000119448,0.000122189,0.000121372,0.000112725,9.74E-05,0.000110117
YOR341W,0.000737712,0.000741262,0.000743357,0.000710619,0.000786537,0.000813974,0.000742606,0.000769231
YOR347C,1.84E-05,2.05E-05,1.08E-05,7.93E-06,3.17E-06,1.12E-05,5.21E-06,9.89E-06
YOR354C,1.10E-05,3.06E-05,2.33E-05,2.11E-05,1.94E-05,1.85E-05,1.12E-05,2.47E-05
YOR356W,0.000101138,0.000119764,9.24E-05,8.60E-05,5.84E-05,5.99E-05,5.15E-05,5.73E-05
YOR361C,0.000987415,0.0010657,0.000988336,0.000905973,0.000738724,0.000787932,0.000629075,0.000654991
YOR362C,0.000526968,0.000465727,0.000373705,0.0003835,0.000298848,0.000313845,0.000272883,0.000250301
YOR369C,0.004306203,0.00397809,0.004341818,0.004033779,0.003667928,0.003664918,0.00380811,0.002970007
YOR370C,3.13E-05,3.04E-05,3.08E-05,2.15E-05,2.27E-05,2.62E-05,2.01E-05,2.03E-05
YOR374W,0.000372838,0.000461327,0.000326995,0.000313702,0.000312207,0.000301112,0.000304243,0.000346354
YOR375C,0.006783649,0.00625924,0.006919965,0.006805766,0.008239387,0.007367149,0.007964414,0.007887981
YPL004C,0.000504833,0.000491072,0.000390804,0.000378149,0.000277762,0.000262272,0.000225713,0.000254539
YPL009C,0.00016747,0.000160625,0.000127141,0.000135413,9.10E-05,9.02E-05,6.03E-05,6.11E-05
YPL012W,0.000235864,0.000240273,0.000232101,0.00025254,0.000230124,0.000246272,0.000193372,0.000228092
YPL028W,0.001464998,0.001482841,0.00129701,0.001272772,0.00106624,0.001075657,0.000982171,0.00083944
YPL030W,6.10E-05,5.88E-05,5.58E-05,5.17E-05,4.29E-05,3.66E-05,2.05E-05,3.84E-05
YPL031C,9.60E-05,8.16E-05,7.04E-05,5.65E-05,2.89E-05,3.81E-05,1.47E-05,3.43E-05
YPL032C,3.59E-05,7.76E-05,5.11E-05,5.74E-05,4.75E-05,5.85E-05,1.65E-05,4.41E-05
YPL037C,0.000767116,0.000659483,0.000822669,0.000827961,0.000926595,0.000832044,0.000886672,0.000956631
YPL043W,6.58E-05,7.89E-05,8.38E-05,8.46E-05,8.33E-05,9.70E-05,7.69E-05,8.17E-05
YPL048W,0.000587219,0.000519854,0.000556874,0.000572886,0.000569163,0.00057288,0.000572435,0.000575218
YPL050C,5.26E-05,6.09E-05,5.64E-05,6.02E-05,5.47E-05,6.26E-05,5.83E-05,5.96E-05
YPL061W,0.004448103,0.004898542,0.005268261,0.005553961,0.007205277,0.007190116,0.007687829,0.007396207
YPL063W,9.99E-05,0.00010245,9.28E-05,0.000105987,9.04E-05,9.17E-05,7.89E-05,8.18E-05
YPL078C,0.000275152,0.000320934,0.000298104,0.000289649,0.000279442,0.00028935,0.000276519,0.000307204
YPL079W,3.74E-05,4.55E-05,5.45E-05,8.16E-05,3.15E-05,5.92E-05,7.82E-05,3.44E-05
YPL081W,0.000161083,0.000166417,0.000209962,0.000203041,0.000152562,0.000103277,0.000128329,0.000178863
YPL082C,2.14E-05,2.46E-05,2.04E-05,1.54E-05,1.42E-05,1.90E-05,1.53E-05,1.65E-05
YPL084W,7.58E-05,7.21E-05,5.28E-05,4.01E-05,3.87E-05,3.30E-05,2.54E-05,3.06E-05
YPL086C,0.000106926,0.000113235,0.000103462,0.000100387,8.90E-05,8.66E-05,7.44E-05,7.50E-05
YPL091W,0.000549073,0.0005422,0.000487349,0.000487786,0.000417317,0.000449737,0.000349001,0.000341358
YPL093W,0.000331466,0.000357077,0.000360844,0.000356565,0.000349617,0.000373956,0.00031815,0.000324347
YPL105C,4.79E-05,4.90E-05,4.90E-05,4.70E-05,3.76E-05,4.50E-05,2.96E-05,4.27E-05
YPL106C,0.003758332,0.003853947,0.003916221,0.003886458,0.004436168,0.004572101,0.004348637,0.004627523
YPL111W,3.33E-05,4.94E-05,2.76E-05,2.94E-05,1.46E-05,2.62E-05,3.07E-05,2.99E-05
YPL112C,0.00032625,0.000343649,0.00029716,0.000274065,0.000256993,0.000254758,0.000175012,0.000199657
YPL117C,0.00016995,0.000152827,0.000195627,0.000158143,0.000121687,0.00012504,0.000141427,0.00012058
YPL126W,0.000283032,0.000308169,0.000274151,0.000245448,0.000213489,0.000208866,0.000170137,0.00016984
YPL128C,3.73E-05,3.79E-05,3.05E-05,3.28E-05,2.55E-05,3.03E-05,2.04E-05,2.97E-05
YPL131W,0.008289695,0.008397091,0.008027091,0.008651624,0.008362468,0.008680103,0.007984843,0.00761228
YPL139C,3.58E-05,6.84E-05,2.79E-05,2.35E-05,2.69E-05,3.21E-05,1.14E-05,2.03E-05
YPL143W,0.001236014,0.000984133,0.001111913,0.001189437,0.001075925,0.000972959,0.00077102,0.000930398
YPL145C,0.000653706,0.000691161,0.000678249,0.000676545,0.000552772,0.000525657,0.00044275,0.000453385
YPL154C,0.000335448,0.000310396,0.000241961,0.000251792,0.000240034,0.000256218,0.00027307,0.000283652
YPL160W,0.00227319,0.002244375,0.002147875,0.002144511,0.001936743,0.00196674,0.001852076,0.001873539
YPL169C,0.000156987,0.000171899,0.0001356,0.00012537,0.00010781,0.000105896,7.91E-05,8.90E-05
YPL173W,3.25E-05,2.62E-05,3.11E-05,3.75E-05,2.59E-05,3.20E-05,2.65E-05,3.48E-05
YPL183C,0.000144158,0.000141104,0.000117119,0.00011881,8.37E-05,9.39E-05,6.62E-05,7.35E-05
YPL184C,3.22E-05,5.10E-05,3.74E-05,3.77E-05,3.75E-05,2.36E-05,2.30E-05,2.96E-05
YPL190C,0.000104202,0.000104733,8.20E-05,8.12E-05,7.00E-05,7.15E-05,4.66E-05,5.85E-05
YPL195W,8.67E-05,8.59E-05,7.52E-05,7.04E-05,5.46E-05,6.06E-05,3.60E-05,4.08E-05
YPL198W,3.34E-05,0.00011886,0.000256465,0.000237063,0.000206306,0.000149968,0.000277134,0.000207138
YPL204W,9.04E-05,6.85E-05,6.49E-05,7.41E-05,6.66E-05,6.49E-05,4.72E-05,5.31E-05
YPL207W,3.09E-05,4.14E-05,4.31E-05,3.98E-05,3.66E-05,3.00E-05,3.03E-05,2.88E-05
YPL208W,2.61E-05,3.45E-05,2.82E-05,2.61E-05,1.70E-05,1.72E-05,1.58E-05,2.44E-05
YPL210C,0.000206011,0.000202078,0.000175296,0.000171774,0.00012574,0.000129244,9.79E-05,0.000102002
YPL211W,7.15E-05,8.92E-05,7.01E-05,6.61E-05,6.50E-05,7.65E-05,6.64E-05,7.59E-05
YPL212C,0.000211599,0.000209283,0.000191939,0.000182654,0.000139241,0.000134273,0.000109669,0.000127002
YPL217C,0.000119443,0.000137024,0.000124047,0.000125818,0.000113574,0.00011727,9.67E-05,0.000101879
YPL218W,0.000898629,0.000861124,0.000822071,0.000772096,0.000680303,0.000754358,0.000660218,0.000663592
YPL225W,0.000377203,0.000388746,0.000338979,0.000292635,0.000256016,0.000265488,0.000216381,0.000213126
YPL226W,0.001278521,0.001379757,0.001320007,0.001261059,0.001128195,0.001148122,0.000856992,0.000961502
YPL228W,5.28E-05,5.89E-05,4.77E-05,4.19E-05,3.31E-05,3.91E-05,2.73E-05,3.00E-05
YPL231W,0.003488337,0.003508639,0.003940585,0.003807939,0.003832672,0.003785416,0.003652204,0.003917826
YPL235W,0.000368586,0.000383176,0.000345895,0.000333504,0.000305398,0.000315476,0.000242131,0.000266692
YPL237W,0.000535155,0.000562993,0.000588249,0.000582169,0.000543121,0.000564613,0.000481536,0.00048768
YPL239W,4.64E-05,4.03E-05,4.29E-05,5.15E-05,6.42E-05,6.72E-05,7.59E-05,7.46E-05
YPL240C,0.015673677,0.014899584,0.014106229,0.014147633,0.013754148,0.013537094,0.010334531,0.010651913
YPL243W,0.00020309,0.000216917,0.00020195,0.000192946,0.000149013,0.00015382,0.00012683,0.000123788
YPL249C-A,0.000530954,0.00061046,0.000613078,0.000458234,0.000486395,0.000505757,0.0005197,0.000462494
YPL260W,0.000138899,0.000130077,0.000108797,0.000110017,0.000101589,9.96E-05,8.98E-05,9.83E-05
YPL262W,0.000420981,0.000460147,0.000331626,0.000340899,0.000320337,0.000320659,0.000369822,0.000333654
YPL263C,0.000141118,0.000146971,0.000113989,0.00011261,7.99E-05,7.06E-05,4.32E-05,5.81E-05
YPL266W,7.38E-05,6.17E-05,7.12E-05,7.48E-05,6.01E-05,6.10E-05,5.95E-05,6.09E-05
YPL274W,2.71E-05,2.67E-05,2.06E-05,2.18E-05,1.90E-05,2.40E-05,1.60E-05,1.79E-05
YPR002W,3.87E-05,4.57E-05,2.17E-05,1.16E-05,3.19E-05,2.63E-05,3.16E-05,4.35E-05
YPR004C,0.000212653,0.000232569,0.000201135,0.000187518,0.00017953,0.000196414,0.00016801,0.000185616
YPR016C,0.000499205,0.00044176,0.000432133,0.00050983,0.000397423,0.000425587,0.000341839,0.000291308
YPR019W,7.17E-05,8.48E-05,6.77E-05,6.22E-05,3.60E-05,5.18E-05,4.14E-05,4.01E-05
YPR020W,9.69E-05,9.89E-05,6.04E-05,8.25E-05,8.46E-05,6.69E-05,5.53E-05,7.30E-05
YPR024W,9.71E-05,0.000104508,0.000110099,0.000105713,0.000100247,0.000103359,7.51E-05,9.29E-05
YPR028W,0.000232384,0.000213361,0.000206243,0.00026046,0.000205247,0.000174904,0.000157081,0.000138331
YPR029C,4.98E-05,6.00E-05,4.67E-05,4.73E-05,2.10E-05,2.54E-05,2.57E-05,3.04E-05
YPR033C,0.000892172,0.000868905,0.000823904,0.000869705,0.000866353,0.000833543,0.000894863,0.000862507
YPR034W,7.91E-05,8.74E-05,7.39E-05,7.39E-05,5.90E-05,5.53E-05,3.00E-05,4.52E-05
YPR035W,0.00090373,0.000947344,0.00131564,0.001402039,0.001857114,0.001836929,0.00244718,0.00233192
YPR036W,0.000533853,0.000522046,0.000484992,0.000516781,0.000418403,0.00042778,0.00032512,0.000349006
YPR041W,0.000504414,0.000577673,0.000597265,0.000605963,0.000574883,0.000651766,0.000448655,0.000495182
YPR043W,0.001490639,0.001767977,0.001766114,0.00149564,0.001384959,0.001410866,0.001493215,0.001316613
YPR058W,3.59E-05,3.83E-05,3.70E-05,3.46E-05,3.68E-05,4.19E-05,4.64E-05,4.59E-05
YPR069C,0.000434293,0.000452013,0.00062861,0.000541827,0.000730723,0.000767182,0.000807182,0.000874182
YPR072W,4.79E-05,4.54E-05,4.45E-05,4.79E-05,3.67E-05,3.92E-05,2.83E-05,2.44E-05
YPR074C,0.002298804,0.002334193,0.002219182,0.002479353,0.002662996,0.002868918,0.003106453,0.003131448
YPR086W,5.21E-05,5.20E-05,4.49E-05,3.08E-05,1.80E-05,2.72E-05,2.92E-05,2.95E-05
YPR088C,0.000149407,0.000142101,0.000135301,0.000123869,0.000116267,0.000105077,0.000110438,0.000102769
YPR103W,0.000318915,0.000287888,0.000227935,0.000239406,0.000189419,0.000200652,0.000164812,0.000150657
YPR108W,0.000466068,0.000512771,0.000427649,0.000440157,0.000337765,0.000361959,0.000221378,0.000274396
YPR110C,0.000312036,0.000284802,0.000268024,0.000265812,0.000270416,0.000281961,0.000266657,0.000297162
YPR112C,9.85E-05,0.000120342,9.04E-05,9.08E-05,6.05E-05,7.26E-05,3.52E-05,6.21E-05
YPR113W,8.15E-05,8.02E-05,5.33E-05,6.72E-05,4.33E-05,4.63E-05,5.06E-05,4.46E-05
YPR118W,0.000180281,0.000169045,0.000172,0.000151812,0.000136295,0.000137003,0.000118529,0.00012112
YPR132W,0.003500498,0.003412081,0.003143558,0.003504887,0.003310568,0.003325181,0.002957377,0.002846932
YPR133C,8.08E-05,8.59E-05,8.59E-05,8.87E-05,6.669E-05,8.52E-05,6.18E-05,6.48E-05
YPR137W,8.73E-05,9.62E-05,8.02E-05,7.19E-05,6.49E-05,8.25E-05,8.23E-05,8.58E-05
YPR145W,0.002325565,0.002307932,0.002115199,0.002073351,0.001163138,0.001207399,0.001082068,0.0011111
YPR148C,0.000107925,0.000123838,0.000118053,0.000108084,9.73E-05,0.000107332,8.32E-05,8.33E-05
YPR149W,0.000181188,0.000148935,0.000132055,0.000149502,0.000140104,0.000152587,0.000166006,0.000136659
YPR159W,0.000149897,0.000165683,0.000132125,0.000122786,8.90E-05,0.000102733,8.92E-05,8.15E-05
YPR165W,0.000572396,0.000628134,0.000506469,0.000498244,0.000396306,0.000449188,0.000375162,0.000422248
YPR167C,5.80E-05,6.47E-05,7.82E-05,8.66E-05,0.000114405,0.000113894,9.60E-05,0.000109434
YPR172W,4.07E-05,3.07E-05,3.27E-05,2.94E-05,3.27E-05,2.84E-05,3.17E-05,2.39E-05
YPR173C,3.28E-05,3.32E-05,3.32E-05,3.38E-05,2.29E-05,2.43E-05,2.25E-05,2.27E-05
YPR181C,0.00052209,0.000560591,0.000507502,0.000483626,0.000451633,0.000462791,0.000428382,0.000432509
YPR183W,0.000439233,0.000492382,0.000476153,0.000498882,0.000452883,0.00046491,0.000411985,0.000448674
YPR187W,0.00015663,0.000175052,0.000158123,0.00015868,0.000128477,0.000160155,0.000140172,0.000141934
YPR189W,8.76E-05,9.73E-05,7.82E-05,8.76E-05,5.72E-05,5.70E-05,4.11E-05,4.02E-05
YPR190C,5.36E-05,6.22E-05,6.38E-05,5.85E-05,5.60E-05,6.55E-05,5.35E-05,5.34E-05
YPR191W,0.001608612,0.001694609,0.001317055,0.001228669,0.001048505,0.001138533,0.000955057,0.00101566
YAL019W,1.36E-05,1.51E-05,1.79E-05,1.63E-05,#N/A,#N/A,1.07E-05,6.14E-06
YAL049C,3.89E-05,3.30E-05,3.56E-05,4.01E-05,3.13E-05,3.28E-05,#N/A,#N/A
YAR002W,3.40E-05,3.57E-05,3.59E-05,3.62E-05,3.96E-05,3.87E-05,3.46E-05,4.68E-05
YBL069W,3.11E-05,3.95E-05,3.46E-05,3.27E-05,#N/A,#N/A,2.09E-05,2.47E-05
YBL101C,1.98E-05,2.29E-05,2.39E-05,1.85E-05,#N/A,#N/A,1.32E-05,1.59E-05
YBL105C,4.52E-05,3.89E-05,2.72E-05,1.87E-05,1.15E-05,1.02E-05,#N/A,#N/A
YBR015C,3.89E-05,5.37E-05,4.12E-05,4.12E-05,4.22E-05,4.83E-05,4.81E-05,4.13E-05
YBR029C,0.000339459,0.000561152,0.000535856,0.000601872,0.000567096,0.000664157,0.000767164,0.000726592
YBR052C,1.89E-05,2.32E-05,#N/A,#N/A,2.57E-05,2.17E-05,2.67E-05,2.70E-05
YBR054W,1.30E-05,7.82E-06,#N/A,#N/A,0,2.38E-06,2.44E-06,0
YBR056W,2.77E-05,2.73E-05,1.59E-05,2.72E-05,#N/A,#N/A,2.73E-05,1.34E-05
YBR074W,4.74E-05,4.83E-05,2.88E-05,2.85E-05,#N/A,#N/A,1.16E-05,2.13E-05
YBR151W,1.73E-05,2.02E-05,1.60E-05,1.47E-05,#N/A,#N/A,1.11E-05,1.38E-05
YBR155W,2.29E-05,1.89E-05,2.69E-05,2.95E-05,2.33E-05,2.14E-05,3.06E-05,3.62E-05
YBR227C,4.60E-05,5.63E-05,4.75E-05,4.41E-05,#N/A,#N/A,3.21E-05,4.01E-05
YBR236C,3.16E-05,3.34E-05,2.73E-05,1.41E-05,1.95E-05,1.67E-05,#N/A,#N/A
YBR251W,2.40E-05,2.54E-05,#N/A,#N/A,2.26E-05,2.44E-05,2.11E-05,2.39E-05
YBR267W,3.12E-05,3.37E-05,4.65E-05,3.61E-05,3.54E-05,4.65E-05,5.46E-05,4.21E-05
YBR279W,3.40E-05,3.76E-05,#N/A,#N/A,3.21E-05,2.11E-05,1.06E-05,4.28E-05
YCL035C,3.72E-05,4.73E-05,4.89E-05,2.92E-05,2.30E-05,1.97E-05,2.85E-05,2.90E-05
YCR036W,3.43E-05,2.33E-05,#N/A,#N/A,2.25E-05,1.71E-05,1.39E-05,1.85E-05
YCR051W,1.57E-05,1.14E-05,2.77E-05,2.11E-05,2.51E-05,1.27E-05,5.06E-05,4.40E-05
YCR067C,5.12E-05,5.62E-05,4.26E-05,4.37E-05,3.26E-05,3.67E-05,#N/A,#N/A
YDL015C,7.35E-05,9.96E-05,7.85E-05,7.39E-05,7.34E-05,7.55E-05,#N/A,#N/A
YDL058W,2.64E-05,3.31E-05,3.23E-05,2.81E-05,1.95E-05,1.77E-05,#N/A,#N/A
YDL074C,4.68E-05,5.47E-05,4.28E-05,4.77E-05,3.32E-05,2.71E-05,#N/A,#N/A
YDL102W,1.67E-05,1.70E-05,1.67E-05,1.77E-05,1.02E-05,1.03E-05,#N/A,#N/A
YDL111C,5.30E-05,5.55E-05,4.70E-05,4.98E-05,3.26E-05,4.17E-05,#N/A,#N/A
YDL116W,8.04E-05,7.54426E-05,5.02E-05,5.95E-05,3.88E-05,2.53E-05,#N/A,#N/A
YDL164C,2.55E-05,2.83E-05,2.54E-05,2.19E-05,1.33E-05,1.35E-05,#N/A,#N/A
YDL167C,#N/A,#N/A,1.34E-05,1.24E-05,1.27E-05,1.30E-05,1.15E-05,1.47E-05
YDR002W,0.000146631,0.000155186,0.00021355,0.000201847,0.00026534,0.000187505,0.000213011,0.00026064
YDR021W,1.18E-05,1.42E-05,1.10E-05,9.66E-06,7.82E-06,6.21E-06,#N/A,#N/A
YDR049W,3.38E-05,4.05E-05,2.83E-05,2.90E-05,1.06E-05,1.86E-05,#N/A,#N/A
YDR138W,2.33E-05,2.37E-05,2.14E-05,1.89E-05,1.07E-05,1.22E-05,#N/A,#N/A
YDR175C,2.00E-05,2.32E-05,#N/A,#N/A,1.22E-05,2.18E-05,2.17E-05,1.93E-05
YDR266C,3.17E-05,3.46E-05,2.22E-05,2.47E-05,#N/A,#N/A,1.14E-05,1.25E-05
YDR267C,3.52E-05,3.60E-05,2.43E-05,2.39E-05,9.00E-06,8.57E-06,#N/A,#N/A
YDR294C,0.000161129,0.000159245,0.000144066,0.000121991,8.15E-05,9.72E-05,#N/A,#N/A
YDR303C,2.15E-05,2.45E-05,2.14E-05,2.24E-05,2.29E-05,2.69E-05,1.73E-05,1.66E-05
YDR312W,#N/A,#N/A,6.16E-06,6.88E-06,4.53E-06,5.53E-06,3.39E-06,3.24E-06
YDR322C-A,#N/A,#N/A,7.03E-05,6.96E-05,7.68E-05,7.98E-05,5.46E-05,8.71E-05
YDR458C,9.32E-05,0.000131984,8.35E-05,5.75E-05,4.76E-05,5.18E-05,#N/A,#N/A
YDR465C,4.11E-05,3.19E-05,3.43E-05,4.09E-05,2.98E-05,2.98E-05,2.00E-05,2.56E-05
YDR500C,0.000103704,0.000115722,#N/A,#N/A,9.42E-05,9.17E-05,8.60E-05,7.33E-05
YDR508C,4.56E-05,5.92E-05,3.73E-05,3.85E-05,#N/A,#N/A,3.20E-05,2.22E-05
YDR513W,5.36E-05,4.07E-05,3.86E-05,3.48E-05,#N/A,#N/A,2.10E-05,1.81E-05
