Systematic ID	Gene name	Product description	UniProt ID
SPAC3G9.07c	hos2	histone deacetylase (class I) Hos2	O13298
SPBC16D10.07c	sir2	"histone deacetylase, Sirtuin family, NAD-dependent Sir2"	O94640
SPAC22E12.11c	set3	histone lysine methyltransferase Set3	Q10362
SPAC1A6.01c		"human thyroid receptor interacting protein homolog, transcription coactivator"	O13855
SPAC29B12.11c		human WW domain binding protein-2 ortholog	O14032
SPAC26H5.05	mga2	IPT/TIG ankyrin repeat gene-specific transcription coactivator Mga2	O13987
SPAC637.12c	mst1	KAT5 family histone acetyltransferase Mst1	O94446
SPBC30B4.03c	ldb1	"LIM domain binding protein, transcription coregulator"	O74364
SPBC23G7.09	mat1-Mc	M-specific trancription factor Mc	P0CY17
SPBC23G7.17c	mat1-Mi	M-specific trancription factor Mi	P0CY15
SPBC16A3.07c	nrm1	MBF complex corepressor Nrm1	O42913
SPBC21B10.13c	yox1	MBF complex corepressor Yox1	P40923
SPBC2D10.06	rep1	MBF transcription factor activator Rep1	P40379
SPBC2F12.11c	rep2	MBF transcription factor activator Rep2	Q09824
SPBC725.16	res1	MBF transcription factor complex subunit Res1	P33520
SPAC22F3.09c	res2	MBF transcription factor complex subunit Res2	P41412
SPBC12D12.06	srb11	mediator complex cyclin subunit Srb11	O94503
SPAC2F7.04	med1	mediator complex subunit Med1	Q09696
SPBC31F10.09c	nut2	mediator complex subunit Med10	P87310
SPAC644.10	med11	mediator complex subunit Med11	Q9P6Q0
SPAC688.08	srb8	mediator complex subunit Med12	Q9P6L8
SPAC589.02c	med13	mediator complex subunit Med13	Q9HE02
SPBC1A4.10c	med14	mediator complex subunit Med14	Q9P7Y4
SPBC146.01	med15	mediator complex subunit Med15	Q9Y808
SPBC31F10.04c	srb4	mediator complex subunit Med17	P87306
SPAC5D6.05	med18	mediator complex subunit Med18	O14198
SPCC1450.05c	rox3	mediator complex subunit Med19	Q9Y7N2
SPAC17G8.05	med20	mediator complex subunit Med20	Q10317
SPBC1604.10	srb7	mediator complex subunit Med21	O94376
SPAC29A4.07	srb6	mediator complex subunit Med22	O14010
SPAC17C9.05c	pmc3	mediator complex subunit Med27	Q10477
SPCP31B10.03c	med31	mediator complex subunit Med31	Q9USH1
SPBC1105.06	pmc4	mediator complex subunit Med4	Q9Y821
SPAC1002.15c	med6	mediator complex subunit Med6	Q9US45
SPBC14F5.08	med7	mediator complex subunit Med7	O60104
SPBC21.04	med8	mediator complex subunit Med8	O94646
SPAC23H4.17c	srb10	"mediator complex, cyclin-dependent protein kinase subunit Srb10"	O13958
SPBC83.17	mbf1	multiprotein bridging factor Mbf1	O94700
SPAC23D3.06c	nup146	"nucleoporin, WD repeat Nup146"	Q09847
SPBC29A10.12	oxs1	oxidative stress transcription coactivator/ribosome recycling protein Oxs1	O94389
SPAC31G5.12c	maf1	repressor of RNA polymerase III Maf1	O14109
SPBC1198.11c	reb1	RNA polymerase I transcription termination factor/ RNA polymerase II transcription factor Reb1	Q9P6H9
SPCC1223.10c	eaf1	RNA polymerase II transcription elongation factor Eaf1	A0ZWU1
SPBP23A10.14c	ell1	RNA polymerase II transcription elongation factor Ell1	Q9P7X2
SPBC25H2.11c	spt7	SAGA complex bromodomain subunit Spt7	P87152
SPAC57A10.14	sgf11	SAGA complex deubiquitinating submodule subunit Sgf11	Q5FC18
SPCC126.04c	sgf73	SAGA complex deubiquitinating submodule subunit Sgf73	O94397
SPBC6B1.12c	sus1	"SAGA complex deubiquitinating submodule subunit, TREX complex subunit Sus1"	Q7LL15
SPCC24B10.08c	ada2	SAGA complex subunit Ada2	Q9P7J7
SPBC887.18c	hfi1	SAGA complex subunit Hfi1/Ada1	O94301
SPBC28F2.10c	ngg1	SAGA complex subunit Ngg1/Ada3	Q9USU8
SPBC1921.07c	sgf29	SAGA complex subunit Sgf29	Q9USW9
SPAC4D7.10c	spt20	SAGA complex subunit Spt20	O14174
SPCC61.02	spt3	SAGA complex subunit Spt3	O14311
SPBC14C8.17c	spt8	SAGA complex subunit Spt8	O60097
SPBP16F5.03c	tra1	"SAGA complex/ASTRA complex, phosphatidylinositol pseudokinase Tra1"	Q9HFE8
