fold	min_protein_count	R2_cv	RMSE_cv	R2_test	RMSE_test	proteins
1	35	0.6168582457365387	0.012229671472140154	0.8156646771950256	0.01434327120100577	YBR118W;YMR145C;YPL249C-A;YOR063W;YLR075W;YOR247W;YNL178W;YLR388W;YAL038W;YEL047C;YER062C;YPL231W;YPL262W;YJR007W;YAL005C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YOR374W;YKL060C;YHR196W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	36	0.6109613978552358	0.012206586253955267	0.8292259345154697	0.014311126130284955	YBR118W;YMR145C;YPL249C-A;YOR063W;YLR075W;YOR247W;YNL178W;YLR388W;YAL038W;YEL047C;YER062C;YPL231W;YPL262W;YJR007W;YAL005C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YJR077C;YOR374W;YKL060C;YHR196W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	37	0.6038174557706054	0.01235727956532785	0.8333494192871139	0.01425879231483988	YBR118W;YMR145C;YPL249C-A;YOR063W;YLR075W;YOR247W;YNL178W;YLR388W;YML026C;YAL038W;YEL047C;YER062C;YPL231W;YPL262W;YJR007W;YAL005C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YJR077C;YOR374W;YKL060C;YHR196W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	38	0.6183365252474239	0.011420962841517899	0.8282152329705139	0.013363380781153653	YBR118W;YMR145C;YPL249C-A;YOR063W;YLR075W;YOR247W;YNL007C;YNL178W;YLR388W;YML026C;YAL038W;YEL047C;YER062C;YPL231W;YPL262W;YJR007W;YAL005C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YJR077C;YOR374W;YKL060C;YHR196W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	39	0.6319491473305544	0.011493566341287538	0.8272190000588209	0.013458948867888542	YBR118W;YMR145C;YPL249C-A;YOR063W;YLR075W;YOR247W;YNL007C;YNL178W;YLR388W;YML026C;YAL038W;YEL047C;YER062C;YPL231W;YPL262W;YLL024C;YJR007W;YAL005C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YJR077C;YOR374W;YKL060C;YHR196W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	40	0.6082349496876687	0.01154822427316328	0.8282972672675519	0.013527961733969985	YBR118W;YMR145C;YPL249C-A;YOR063W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YAL038W;YEL047C;YER062C;YPL231W;YPL262W;YLL024C;YJR007W;YAL005C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YJR077C;YOR374W;YKL060C;YHR196W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	41	0.6657459256246451	0.011402772517844951	0.7853053722708313	0.013195005627673815	YBR118W;YMR145C;YPL249C-A;YOR063W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YAL038W;YEL047C;YER062C;YPL231W;YPL262W;YLL024C;YJR007W;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YJR077C;YOR374W;YKL060C;YHR196W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	42	0.6918249815631736	0.011147885211281044	0.7798065487773459	0.013054021607294847	YBR118W;YMR145C;YPL249C-A;YOR063W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YAL038W;YBR039W;YEL047C;YER062C;YPL231W;YPL262W;YLL024C;YJR007W;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YJR077C;YOR374W;YKL060C;YHR196W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	43	0.7603667178510437	0.011169174832806574	0.8124631613090542	0.01284819212507233	YBR118W;YMR145C;YPL249C-A;YOR063W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YAL038W;YBR039W;YEL047C;YER062C;YPL231W;YPL262W;YLL024C;YJR007W;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YJR077C;YOR374W;YKL060C;YHR196W;YLR257W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	44	0.7608904639758868	0.011141076535228393	0.8195290554444313	0.013024187778836743	YBR118W;YMR145C;YPL249C-A;YOR063W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YAL038W;YBR039W;YEL047C;YER062C;YPL231W;YPL262W;YLL024C;YJR007W;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YOR117W;YBL022C;YLR244C;YKL150W;YJR077C;YOR374W;YKL060C;YHR196W;YLR257W;YBL092W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
