sampleID	source	Ref	Simultation_with_ETFL	Strain	growth_mode	condition_detail	growth_media	dilution rate (/h)	qGlucose (mmol/gDW h)	qNH4 (mmol/gDW h)	qGln (mmol/gDW h)	qPhe (mmol/gDW h)	qIle (mmol/gDW h)	qNitrogen (mmol/gDW h)	qEtOH (mmol/gDW h)	qAce (mmol/gDW h)	qPyr (mmol/gDW h)	qSuc (mmol/gDW h)	qGlycerol (mmol/gDW h)	qCO2 (mmol/gDW h)	qO2 (mmol/gDW h)	glucose.H2O concentration (g/L)	Nitrogen source	nitrogen source concentration (g/L)	limiting nutrient	C/N ratio	experiment subset	total RNA content (g/gDW)	total protein content (g/gDW)	extra notes
sce_FY4_C4_miu=0.28	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	chemostat			0.28																						
sce_CEN.PK_batch_miu=0.391	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	batch	sce_CEN.PK_batch_miu=0.391		0.391																						
sce_CEN.PK_glucose + O2_1	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	batch	sce_CEN.PK_glucose + O2																								
sce_CEN.PK_glucose + O2_2	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	batch	sce_CEN.PK_glucose + O2																								
sce_CEN.PK_glucose + O2_3	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	batch	sce_CEN.PK_glucose + O2																								
sce_CEN.PK_glucose - O2_1	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	batch	sce_CEN.PK_glucose - O2																								
sce_CEN.PK_glucose - O2_2	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	batch	sce_CEN.PK_glucose - O2																								
sce_CEN.PK_glucose - O2_3	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	batch	sce_CEN.PK_glucose - O2																								
sce_CEN.PK_glucose + antimycin_1	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	batch	sce_CEN.PK_glucose + antimycin																								
sce_CEN.PK_glucose + antimycin_2	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	S. cerevisiae	batch	sce_CEN.PK_glucose + antimycin																								
Mean molecules per cell	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
Median molecules per cell	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
LU_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
PENG_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
KUL_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
LAW_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
LAHT_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
DGD_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
LEE2_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
THAK_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
NAG_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
PIC_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
WEB_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
TKA_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
BRE_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
DEN_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
MAZ_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
CHO_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
YOF_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
NEW_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
LEE_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
DAV_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
GHA_ref	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
BRE	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
BRE_DTT_a	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae		"a 2 mM dithiothreitol, 2 h"																								
BRE_H2O2_b	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae		"b 1 mM H2O2, 1 h"																								
BRE_- N_c	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae		"c 0.67% yeast nitrogen base without amino acids and without ammonium sulfate, 15 h"																								
CHO	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
CHO_HU_d	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae		"d 0.2M hydroxyurea, 160 min"																								
CHO_Rapamycin_e	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae		"e 200 ng/ml rapamycin, 700 min"																								
DAV	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
DAV_Quiescence_f	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae		"f YPAD + 50 mg/mL ampicillin, 7d"																								
DEN	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
DEN_MMS_g	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae		"g 0.03% methyl methanesulfonate, 7h"																								
MAZ	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
MAZ_MMS_h	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae		"h 0.03% methyl methanesulfonate, 4h"																								
LEE	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
LEE_MMS_i	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae		"i 0.02% methyl methanesulfonate, 2h"																								
TKA	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae																										
TKA_HU_j	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae		"j 0.2M hydroxyurea, 2h"																								
TKA_MMS_k	Brandon Ho	https://doi.org/10.1016/j.cels.2017.12.004	NO	S. cerevisiae		"k 0.03% methyl methanesulfonate, 2h"																								
Ghaemmaghami et al. 2003 - Copy 	Sina Ghaemmaghami	https://www.nature.com/articles/nature02046	NO	S. cerevisiae																										
Kulak et al. 2014 - Copy	Nils A Kulak	https://www.nature.com/articles/nmeth.2834	NO	S. cerevisiae																										
Mean Copy number - Glucose	Marcel Morgenstern	http://dx.doi.org/10.1016/j.celrep.2017.06.014	NO	S. cerevisiae																										
Mean Copy number - Galactose	Marcel Morgenstern	http://dx.doi.org/10.1016/j.celrep.2017.06.014	NO	S. cerevisiae																										
Mean Copy number - Glycerol	Marcel Morgenstern	http://dx.doi.org/10.1016/j.celrep.2017.06.014	NO	S. cerevisiae																										
Copy number WT 0 hr 1	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 0 hr_zinc deficiency	low zinc medium (LZM)																							
Copy number WT 0 hr 2	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 0 hr_zinc deficiency	low zinc medium (LZM)																							
Copy number WT 0 hr 3	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 0 hr_zinc deficiency	low zinc medium (LZM)																							
Copy number WT 4 hr 1	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 4 hr_zinc deficiency	low zinc medium (LZM)																							
Copy number WT 4 hr 2	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 4 hr_zinc deficiency	low zinc medium (LZM)																							
Copy number WT 4 hr 3	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 4 hr_zinc deficiency	low zinc medium (LZM)																							
Copy number WT 4 hr 4	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 4 hr_zinc deficiency	low zinc medium (LZM)																							
Copy number WT 8 hr 1	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 8 hr_zinc deficiency	low zinc medium (LZM)																							
Copy number WT 8 hr 2	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 8 hr_zinc deficiency	low zinc medium (LZM)																							
Copy number WT 8 hr 3	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 8 hr_zinc deficiency	low zinc medium (LZM)																							
Copy number WT 8 hr 4	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 8 hr_zinc deficiency	low zinc medium (LZM)																							
Copy number WT 12 hr 1	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 12 hr_zinc deficiency	low zinc medium (LZM)																							
Copy number WT 12 hr 2	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 12 hr_zinc deficiency	low zinc medium (LZM)																							
Copy number WT 12 hr 3	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 12 hr_zinc deficiency	low zinc medium (LZM)																							
Copy number WT 12 hr 4	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 12 hr_zinc deficiency	low zinc medium (LZM)																							
Copy number WT 16 hr 1	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 16 hr_zinc deficiency	low zinc medium (LZM)																							
Copy number WT 16 hr 3	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 16 hr_zinc deficiency	low zinc medium (LZM)																							
Copy number WT 16 hr 4	Yirong Wang	DOI: 10.1039/c8mt00269j	NO	S. cerevisiae BY4743?		Copy number WT 16 hr_zinc deficiency	low zinc medium (LZM)																							
IO_SD108_batch_miu=0.52	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	batch			0.52																						
IO_SD108_C1_miu=0.12	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	chemostat			0.12																						
IO_SD108_C2_miu=0.18	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	chemostat			0.18																						
IO_SD108_C3_miu=0.23	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	chemostat			0.23																						
IO_SD108_C4_miu=0.34	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	chemostat			0.34																						
IO_SD108_C5_miu=0.45	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	chemostat			0.45																						
IO_SD108_N1_miu=0.12	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	chemostat			0.12																						
IO_SD108_N2_miu=0.18	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	chemostat			0.18																						
IO_SD108_N3_miu=0.23	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	chemostat			0.23																						
IO_SD108_N4_miu=0.34	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	chemostat			0.34																						
IO_SD108_N5_miu=0.45	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	chemostat			0.45																						
IO_SD108_P1_miu=0.12	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	chemostat			0.12																						
IO_SD108_P2_miu=0.18	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	chemostat			0.18																						
IO_SD108_P3_miu=0.23	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	chemostat			0.23																						
IO_SD108_P4_miu=0.34	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	chemostat			0.34																						
IO_SD108_P5_miu=0.45	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	chemostat			0.45																						
IO_SD108_glucose + O2_1	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	batch	IO_SD108_glucose + O2																								
IO_SD108_glucose + O2_2	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	batch	IO_SD108_glucose + O2																								
IO_SD108_glucose + O2_3	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	batch	IO_SD108_glucose + O2																								
IO_SD108_glucose - O2_1	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	batch	IO_SD108_glucose - O2																								
IO_SD108_glucose - O2_2	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	batch	IO_SD108_glucose - O2																								
IO_SD108_glucose - O2_3	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	batch	IO_SD108_glucose - O2																								
IO_SD108_glucose + antimycin_1	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	batch	IO_SD108_glucose + antimycin																								
IO_SD108_glucose + antimycin_2	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	batch	IO_SD108_glucose + antimycin																								
IO_SD108_glucose + antimycin_3	Yihui Shen	https://doi.org/10.1038/s41589-024-01571-y	NO	I. orientalis	batch	IO_SD108_glucose + antimycin																								
