sampleID	source	Ref	Simultation_with_ETFL	Strain	growth_mode	condition_detail	growth_media	dilution rate (/h)	qGlucose (mmol/gDW h)	qNH4 (mmol/gDW h)	qGln (mmol/gDW h)	qPhe (mmol/gDW h)	qIle (mmol/gDW h)	qNitrogen (mmol/gDW h)	qEtOH (mmol/gDW h)	qAce (mmol/gDW h)	qPyr (mmol/gDW h)	qSuc (mmol/gDW h)	qGlycerol (mmol/gDW h)	qCO2 (mmol/gDW h)	qO2 (mmol/gDW h)	glucose.H2O concentration (g/L)	Nitrogen source	nitrogen source concentration (g/L)	limiting nutrient	C/N ratio	experiment subset	total RNA content (g/gDW)	total protein content (g/gDW)	extra notes
prot.12	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.13@NH4@N_limit@C_N_ratio=30	minimal mineral medium 	0.13	2.135	0.438				0.438	0.132675625	0.257277921	0.02612113	0	0.041071207	5.302	5.07	7.5	NH4	0.5	N	30	GR	0.025297	0.266425	
prot.13	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.18@NH4@N_limit@C_N_ratio=30	minimal mineral medium 	0.18	3.266	0.669				0.669	1.281386995	0.180481388	0.032745818	0	0.005645284	7.262	5.42	7.5	NH4	0.5	N	30	GR	0.039014	0.289261429	
prot.14	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.18@NH4@N_limit@C_N_ratio=30	minimal mineral medium 	0.18	3.202	0.659				0.659	1.487079728	0.415156723	0.03127225	0.002696948	0.016418242	7.305	6.017	7.5	NH4	0.5	N	30	GR	0.038658	0.282029893	
prot.15	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.18@NH4@N_limit@C_N_ratio=30	minimal mineral medium 	0.18	2.83	0.581				0.581	1.069367508	0.184249429	0.02652065	0	0.015674207	6.251	5.264	7.5	NH4	0.5	N	30	GR	0.037945	0.288119607	
prot.16	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.3@NH4@N_limit@C_N_ratio=30	minimal mineral medium 	0.3	7.991	1.648				1.648	7.04413471	0.312510378	0.05169222	0.011339925	0	14.086	8.301	7.5	NH4	0.5	N	30	GR	0.047031	0.422473929	
prot.17	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.3@NH4@N_limit@C_N_ratio=30	minimal mineral medium 	0.3	8.276	1.695				1.695	6.684725449	0.272295364	0.044478276	0.034668667	0	15.111	8.387	7.5	NH4	0.5	N	30	GR	0.045606	0.421332107	
prot.18	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.3@NH4@N_limit@C_N_ratio=30	minimal mineral medium 	0.3	8.932	1.866				1.866	8.212421889	0.617189232	0.064337544	0.02948128	0	16.956	9.34	7.5	NH4	0.5	N	30	GR	0.052019	0.3996375	
prot.19	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.35@NH4@N_limit@C_N_ratio=30	minimal mineral medium 	0.35	12.937	2.712				2.712	11.92730696	0.472694266	0.089757967	0.035944587	0	20.902	12.682	7.5	NH4	0.5	N	30	GR	0.073219	0.484154674	
prot.20	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.35@NH4@N_limit@C_N_ratio=30	minimal mineral medium 	0.35	13.23	2.786				2.786	12.12470377	0.636926	0.104193063	0.03377089	0	21.083	12.354	7.5	NH4	0.5	N	30	GR	0.070546	0.489921983	
prot.21	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.35@NH4@N_limit@C_N_ratio=30	minimal mineral medium 	0.35	13.096	2.742				2.742	11.84780602	0.477342597	0.091823417	0	0	21.098	12.977	7.5	NH4	0.5	N	30	GR	0.088717	0.508864255	
prot.22	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Gln@C_limit@C_N_ratio=5	minimal mineral medium 	0.1	0.827		0.747			1.493	0	0	0.008756173	0	0	2.769	2.45	7.5	Gln	5.53	C	5	NM	0.071259	0.497834143	"labeled ""Q"" or ""Gln"""
prot.23	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Gln@C_limit@C_N_ratio=5	minimal mineral medium 	0.1	0.788		0.712			1.423	0	0	0.005518269	0	0	2.717	2.353	7.5	Gln	5.53	C	5	NM	0.058789	0.583851357	"labeled ""Q"" or ""Gln"""
prot.24	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Gln@C_limit@C_N_ratio=5	minimal mineral medium 	0.1	0.767		0.691			1.382	0	0	0.001990255	0	0	2.574	2.25	7.5	Gln	5.53	C	5	NM	0.064133	0.59412775	"labeled ""Q"" or ""Gln"""
prot.25	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Gln@C_limit@C_N_ratio=3	minimal mineral medium 	0.1	0.807		4.92			9.839	0	0	0.039436786	0	0.013630472	3.032	1.775	1.21	Gln	5.53	C	3	NM	0.055582	0.510013571	"labeled ""Q*"" or ""Gln*"""
prot.26	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Gln@C_limit@C_N_ratio=3	minimal mineral medium 	0.1	0.649		3.962			7.924	0	0	0.030460815	0	0.009506145	1.959	1.623	1.21	Gln	5.53	C	3	NM	0.054869	0.294209321	"labeled ""Q*"" or ""Gln*"""
prot.27	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Gln@C_limit@C_N_ratio=3	minimal mineral medium 	0.1	0.765		4.616			9.232	0	0	0.025119713	0	0	2.569	1.291	1.21	Gln	5.53	C	3	NM	0.051663	0.358912536	"labeled ""Q*"" or ""Gln*"""
prot.28	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Gln@N_limit@C_N_ratio=30	minimal mineral medium 	0.1	1.381		0.158			0.317	0.018073279	0.078381014	0.867134143	0.005456444	0.046616213	4.321	3.883	6.87	Gln	0.55	N	30	NM	0.026366	0.205527857	
prot.29	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Gln@N_limit@C_N_ratio=30	minimal mineral medium 	0.1	1.259		0.142			0.284	0	0.034333114	0.691584157	0	0.045041784	3.93	3.396	6.87	Gln	0.55	N	30	NM	0.022268	0.352822821	
prot.30	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Gln@N_limit@C_N_ratio=30	minimal mineral medium 	0.1	1.3		0.149			0.298	0	0.076426069	0.842623395	0.005663179	0.041991897	4.077	3.334	6.87	Gln	0.55	N	30	NM	0.017815	0.361957393	
prot.31	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Phe@C_limit@C_N_ratio=3	minimal mineral medium 	0.1	1.485			2.862		2.862	0	0	0.063162172	0	0	5.711	5.604	7.5	Phe	12.35	C	3	NM	0.019596	0.425138179	
prot.32	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Phe@C_limit@C_N_ratio=3	minimal mineral medium 	0.1	1.6			3.084		3.084	0	0	0.074209667	0	0	6.039	5.869	7.5	Phe	12.35	C	3	NM	0.020309	0.520289964	
prot.33	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Phe@C_limit@C_N_ratio=3	minimal mineral medium 	0.1	1.435			2.763		2.763	0	0	0.074921514	0	0	5.32	5.079	7.5	Phe	12.35	C	3	NM	0.018171	0.452161286	
prot.34	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Phe@N_limit@C_N_ratio=30	minimal mineral medium 	0.1	1.678			0.334		0.334	0	0	0.271178742	0	0	5.724	5.908	7.5	Phe	1.24	N	30	NM	0.023337	0.417906643	
prot.35	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Phe@N_limit@C_N_ratio=30	minimal mineral medium 	0.1	1.693			0.337		0.337	0	0	0.307169286	0	0	5.972	5.29	7.5	Phe	1.24	N	30	NM	0.024941	0.378704107	
prot.36	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Phe@N_limit@C_N_ratio=30	minimal mineral medium 	0.1	1.647			0.327		0.327	0	0	0.203970843	0	0	6.131	5.69	7.5	Phe	1.24	N	30	NM	0.024406	0.398876286	
prot.37	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Ile@C_limit@C_N_ratio=3	minimal mineral medium 	0.1	1.479				2.919	2.919	0.064434642	0	0.165599332	0	0.004873699	4.787	4.561	7.5	Ile	9.81	C	3	NM	0.029216	0.320851821	
prot.38	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Ile@C_limit@C_N_ratio=3	minimal mineral medium 	0.1	1.633				3.2	3.2	0	0	0.156217087	0	0	5.138	4.909	7.5	Ile	9.81	C	3	NM	0.034739	0.418667857	
prot.39	sysbio	https://doi.org/10.7554/eLife.65722	YES	"S. cerevisiae  (MATa, MAL2-8c, SUC2)"	chemostat	miu=0.1@Ile@C_limit@C_N_ratio=3	minimal mineral medium 	0.1	1.571				3.083	3.083	0.064504826	0	0.150373555	0	0.005596462	4.961	4.549	7.5	Ile	9.81	C	3	NM	0.030641	0.331508821	
